               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.013544,           0.0094721,           0.0025647,             0.81784,             0.82651,             0.84713,             0.71337,            0.013276,            0.012933,            0.010981,           0.0001948,           0.0001948,           0.0001948
                 124,            0.013556,            0.009509,            0.002246,             0.81543,             0.82175,             0.84793,             0.71401,            0.013273,            0.012934,            0.010922,           0.0001882,           0.0001882,           0.0001882
                 125,            0.013616,           0.0095938,           0.0024566,             0.80973,             0.82333,             0.84728,             0.71274,            0.013252,            0.012923,            0.010872,           0.0001816,           0.0001816,           0.0001816
                 126,            0.013524,             0.00955,           0.0024201,             0.80306,             0.81539,             0.84383,              0.7088,            0.013281,            0.012939,            0.010952,            0.000175,            0.000175,            0.000175
                 127,            0.013442,           0.0094157,           0.0023522,             0.80289,             0.80883,             0.84489,             0.71063,            0.013253,            0.012925,            0.010853,           0.0001684,           0.0001684,           0.0001684
                 128,             0.01346,           0.0095307,           0.0023241,             0.82165,             0.79729,             0.84163,              0.7082,            0.013242,            0.012916,            0.010993,           0.0001618,           0.0001618,           0.0001618
                 129,            0.013662,           0.0096902,           0.0022168,             0.80127,             0.81582,             0.84213,             0.70816,            0.013252,            0.012921,            0.011125,           0.0001552,           0.0001552,           0.0001552
                 130,            0.013379,           0.0093325,           0.0024197,             0.80229,             0.81583,              0.8433,             0.71011,            0.013249,            0.012915,            0.011123,           0.0001486,           0.0001486,           0.0001486
                 131,             0.01343,           0.0095266,           0.0025474,             0.82938,              0.7954,             0.84131,             0.70881,             0.01324,            0.012915,            0.011154,            0.000142,            0.000142,            0.000142
                 132,            0.013515,           0.0095967,           0.0023839,             0.82645,             0.80317,             0.84023,             0.70801,            0.013256,            0.012921,            0.011086,           0.0001354,           0.0001354,           0.0001354
                 133,            0.013409,           0.0093766,            0.002174,             0.83024,             0.79635,             0.83887,             0.70636,            0.013243,            0.012909,            0.011158,           0.0001288,           0.0001288,           0.0001288
                 134,            0.013268,           0.0094949,           0.0021838,             0.82593,             0.79698,             0.83796,             0.70536,            0.013244,            0.012907,            0.011279,           0.0001222,           0.0001222,           0.0001222
                 135,            0.013346,           0.0095516,           0.0022248,             0.82746,             0.79219,             0.83745,             0.70508,            0.013216,             0.01289,            0.011304,           0.0001156,           0.0001156,           0.0001156
                 136,            0.013379,           0.0095433,            0.002109,             0.82246,             0.79904,             0.83889,             0.70586,            0.013231,            0.012884,            0.011326,            0.000109,            0.000109,            0.000109
                 137,            0.013335,           0.0093133,            0.002141,             0.82037,             0.80016,             0.83872,             0.70654,            0.013242,            0.012898,            0.011445,           0.0001024,           0.0001024,           0.0001024
                 138,             0.01335,            0.009439,           0.0020975,             0.82499,             0.79857,             0.83957,             0.70692,            0.013231,            0.012881,             0.01141,            9.58e-05,            9.58e-05,            9.58e-05
                 139,            0.013332,           0.0094096,           0.0021473,             0.82153,             0.79997,             0.83917,             0.70717,            0.013229,            0.012882,            0.011393,            8.92e-05,            8.92e-05,            8.92e-05
                 140,            0.013285,           0.0092925,           0.0021317,             0.82121,             0.80333,             0.83771,             0.70572,             0.01322,            0.012873,            0.011485,            8.26e-05,            8.26e-05,            8.26e-05
